Date,Open,High,Low,Close,Volume,Adj Close
2015-04-22,22.12,22.19,21.80,22.15,1000800,22.15
2015-04-21,22.40,22.47,21.72,22.04,1998600,22.04
2015-04-20,22.35,22.47,21.80,22.31,2338400,22.31
2015-04-17,22.77,22.79,21.97,22.11,2832200,22.11
2015-04-16,22.57,23.56,22.55,22.89,3283200,22.89
2015-04-15,21.36,22.82,21.23,22.75,3801900,22.75
2015-04-14,21.95,22.05,21.26,21.35,2773300,21.35
2015-04-13,21.77,22.08,21.66,21.86,1696000,21.86
2015-04-10,22.00,22.01,21.54,21.72,1722500,21.72
2015-04-09,21.83,22.62,21.68,22.00,3385500,22.00
2015-04-08,21.95,22.46,21.78,21.83,2036700,21.83
2015-04-07,22.50,22.50,21.82,21.86,2153500,21.86
2015-04-06,21.93,22.62,21.93,22.51,2041000,22.51
2015-04-02,22.06,22.55,21.97,22.22,1686100,22.22
2015-04-01,21.92,22.23,21.63,22.15,2630900,22.15
2015-03-31,21.89,22.32,21.76,22.04,1691300,22.04
2015-03-30,21.79,22.19,21.74,21.94,1274000,21.94
2015-03-27,21.77,21.91,21.47,21.72,2535700,21.72
2015-03-26,22.07,22.43,21.76,21.91,1941700,21.91
2015-03-25,22.52,22.62,22.05,22.13,1960300,22.13
2015-03-24,22.50,22.74,22.20,22.46,2037100,22.46
2015-03-23,21.83,22.89,21.75,22.45,3562000,22.45
2015-03-20,21.38,21.97,21.29,21.87,4120200,21.87
2015-03-19,20.85,21.57,20.56,21.34,2767300,21.34
2015-03-18,20.59,20.83,20.34,20.70,1801600,20.70
2015-03-17,20.50,20.85,20.24,20.69,2663400,20.69
2015-03-16,20.96,20.97,20.32,20.51,3375400,20.51
2015-03-13,21.08,21.18,20.69,20.91,2190500,20.91
2015-03-12,21.40,21.62,20.95,21.15,2908600,21.15
2015-03-11,20.94,21.54,20.87,21.41,3464100,21.41
2015-03-10,20.58,21.30,20.36,21.01,4573400,21.01
2015-03-09,20.23,20.87,19.93,20.72,4952900,20.72
2015-03-06,20.18,20.35,19.83,20.17,4939200,20.17
2015-03-05,19.73,20.23,19.34,20.21,16451100,20.21
2015-03-04,22.19,22.70,20.13,20.27,23171800,20.27
2015-03-03,24.16,24.31,23.88,23.99,3867600,23.99
2015-03-02,24.74,24.74,23.83,24.42,3409500,24.42
2015-02-27,23.80,24.80,23.80,24.74,2837300,24.74
2015-02-26,23.90,24.20,23.12,24.03,4161500,23.83
2015-02-25,25.47,25.52,24.80,24.86,2223800,24.65309
2015-02-24,25.62,25.92,25.33,25.66,1090300,25.44643
2015-02-23,25.83,25.92,25.52,25.69,930700,25.47618
2015-02-20,25.68,25.93,25.36,25.79,1308000,25.57535
2015-02-19,25.63,26.17,25.55,25.63,1569000,25.41668
2015-02-18,25.84,26.50,25.66,25.77,2171000,25.55552
2015-02-17,25.93,26.03,25.63,25.96,1774900,25.74393
2015-02-13,24.85,26.15,24.80,26.08,2908900,25.86294
2015-02-12,24.76,25.32,24.52,25.23,1462500,25.02001
2015-02-11,24.24,24.75,24.01,24.51,1931800,24.30601
2015-02-10,24.21,24.40,23.61,24.28,3210300,24.07792
2015-02-09,23.97,25.06,23.83,24.11,3980100,23.90933
2015-02-06,25.90,26.07,25.49,25.78,1960000,25.56544
2015-02-05,25.37,26.08,25.25,25.82,1864100,25.6051
2015-02-04,25.66,26.09,25.23,25.50,2342100,25.28777
2015-02-03,25.53,25.89,25.16,25.78,3237900,25.56544
2015-02-02,24.90,25.52,23.92,25.33,3597000,25.11918
2015-01-30,25.82,26.11,25.25,25.52,2600100,25.3076
2015-01-29,26.22,26.33,25.76,26.09,1439100,25.87285
2015-01-28,27.11,27.24,25.96,26.12,1992800,25.90261
2015-01-27,26.75,27.32,26.72,27.00,1235700,26.77528
2015-01-26,26.74,27.34,26.50,27.17,1126100,26.94386
2015-01-23,27.10,27.19,26.64,26.86,1405800,26.63645
2015-01-22,26.29,27.26,26.14,27.09,1553700,26.86453
2015-01-21,25.72,26.31,25.59,26.24,1404400,26.0216
2015-01-20,26.80,27.04,25.46,25.91,2367000,25.69435
2015-01-16,26.90,27.00,26.25,26.88,2303500,26.65628
2015-01-15,28.26,28.50,26.85,26.91,1959700,26.68603
2015-01-14,27.83,28.41,27.62,28.35,1674100,28.11404
2015-01-13,28.35,29.09,28.05,28.18,1798700,27.94546
2015-01-12,28.21,28.37,27.68,28.29,1554600,28.05454
2015-01-09,29.02,29.20,27.98,28.19,2037700,27.95538
2015-01-08,29.76,30.10,28.91,29.11,2180100,28.86772
2015-01-07,29.18,29.79,29.05,29.33,3355400,29.08589
2015-01-06,28.38,28.97,27.95,28.88,4246300,28.63963
2015-01-05,28.29,28.91,27.92,28.27,2228700,28.03471
2015-01-02,28.76,28.83,28.10,28.58,1131800,28.34213
2014-12-31,28.67,28.99,28.53,28.64,967700,28.40163
2014-12-30,28.50,28.96,28.20,28.76,1103000,28.52063
2014-12-29,28.20,28.99,28.20,28.69,1286900,28.45122
2014-12-26,28.24,28.66,28.12,28.22,799800,27.98513
2014-12-24,28.34,28.69,28.04,28.06,546600,27.82646
2014-12-23,27.65,28.75,27.50,28.23,2564900,27.99504
2014-12-22,27.80,27.90,27.34,27.49,2352500,27.2612
2014-12-19,27.75,27.94,27.11,27.57,3083800,27.34054
2014-12-18,28.00,28.25,27.34,27.72,1662200,27.48929
2014-12-17,27.17,27.72,26.96,27.52,2113600,27.29095
2014-12-16,27.20,27.77,27.00,27.03,2191500,26.80503
2014-12-15,27.88,28.02,27.17,27.28,2736400,27.05295
2014-12-12,27.12,28.09,27.03,27.76,2558200,27.52896
2014-12-11,28.69,28.99,27.20,27.30,3089900,27.07278
2014-12-10,28.18,28.44,27.85,28.29,4117200,28.05454
2014-12-09,27.89,28.64,27.50,28.46,8059900,28.22313
2014-12-08,27.15,27.20,26.19,26.35,4115700,26.13069
2014-12-05,27.77,28.00,27.26,27.29,4221400,27.06287
2014-12-04,28.32,28.55,27.31,27.90,5972300,27.66779
2014-12-03,27.60,29.49,27.23,28.81,8835000,28.57022
2014-12-02,28.18,28.56,27.74,27.84,3074600,27.60829
2014-12-01,28.80,29.02,28.11,28.15,5067100,27.91571
2014-11-28,29.18,29.56,28.78,28.85,1696900,28.60988
2014-11-26,29.63,29.67,29.02,29.32,1481100,28.87764
2014-11-25,29.80,30.32,29.62,29.70,1780400,29.2519
2014-11-24,29.46,29.83,29.22,29.49,2676900,29.04507
2014-11-21,30.32,30.40,29.35,29.45,2119400,29.00568
2014-11-20,28.93,30.13,28.93,29.85,2123600,29.39964
2014-11-19,28.92,29.28,28.61,28.98,1465000,28.54277
2014-11-18,29.03,29.34,28.72,28.94,1973900,28.50337
2014-11-17,28.84,29.34,28.66,29.18,3004200,28.73975
2014-11-14,28.30,29.05,28.22,28.90,3023500,28.46397
2014-11-13,29.35,29.73,28.68,28.90,2423500,28.46397
2014-11-12,29.09,29.60,28.94,29.35,2627000,28.90718
2014-11-11,28.68,29.27,28.46,29.07,3480600,28.63141
2014-11-10,28.96,29.28,28.34,28.69,5559800,28.25714
2014-11-07,31.09,31.55,29.25,29.50,14650700,29.05492
2014-11-06,33.94,35.50,33.70,35.38,2740400,34.84621
2014-11-05,33.06,33.90,33.01,33.80,2094300,33.29004
2014-11-04,32.48,33.04,31.90,32.92,1625900,32.42332
2014-11-03,33.41,33.53,32.53,32.61,2044400,32.118
2014-10-31,34.04,34.48,33.40,33.48,1895900,32.97487
2014-10-30,33.47,34.04,33.43,33.56,1630100,33.05367
2014-10-29,33.04,33.87,32.79,33.70,3448200,33.19156
2014-10-28,32.14,33.06,31.65,33.04,1904000,32.54151
2014-10-27,31.50,32.27,31.22,32.23,1958300,31.74373
2014-10-24,32.06,32.35,31.01,31.69,4093300,31.21188
2014-10-23,33.03,33.93,32.89,33.61,2567400,33.10291
2014-10-22,33.57,33.72,32.77,32.79,2007900,32.29528
2014-10-21,33.35,33.94,33.22,33.55,2090000,33.04382
2014-10-20,32.55,33.44,32.53,33.21,2567100,32.70895
2014-10-17,34.89,34.89,32.38,32.55,4051600,32.0589
