Date,Open,High,Low,Close,Volume,Adj Close
2015-04-22,68.83,69.00,67.09,67.80,3089500,67.80
2015-04-21,70.67,70.80,68.22,68.37,2401600,68.37
2015-04-20,70.40,71.58,70.26,70.67,2366100,70.67
2015-04-17,70.22,70.82,69.69,70.38,2799900,70.13
2015-04-16,70.86,71.77,70.33,70.81,3321300,70.55847
2015-04-15,70.09,71.87,70.00,71.40,4533400,71.14638
2015-04-14,68.00,69.95,67.98,69.81,3333900,69.56202
2015-04-13,68.03,68.28,67.02,67.51,3271100,67.2702
2015-04-10,66.80,68.17,66.61,67.84,3526000,67.59902
2015-04-09,65.47,67.00,65.41,66.47,3848900,66.23389
2015-04-08,65.98,66.59,64.86,65.25,4311200,65.01823
2015-04-07,64.76,66.58,64.35,65.44,4024600,65.20755
2015-04-06,61.85,65.00,61.60,64.84,4577500,64.60967
2015-04-02,60.23,61.59,60.14,61.44,2275900,61.22176
2015-04-01,60.93,61.61,60.54,60.63,2448600,60.41463
2015-03-31,59.86,60.82,59.75,60.33,2740800,60.1157
2015-03-30,60.30,61.18,59.97,60.83,3159900,60.61393
2015-03-27,59.30,60.05,58.88,59.41,3373800,59.19897
2015-03-26,60.98,61.40,59.58,59.81,3517100,59.59755
2015-03-25,59.64,60.26,58.88,59.83,3069100,59.61748
2015-03-24,58.91,59.25,58.21,59.03,3564600,58.82032
2015-03-23,59.57,60.44,58.67,58.68,3309100,58.47156
2015-03-20,60.16,61.20,59.55,59.55,6723800,59.33847
2015-03-19,60.10,60.63,59.38,59.88,2816200,59.6673
2015-03-18,58.65,61.93,58.18,61.50,3217300,61.28154
2015-03-17,59.52,59.76,58.65,59.09,2412500,58.8801
2015-03-16,58.75,67.00,57.57,59.83,3817700,59.61748
2015-03-13,59.46,59.52,58.20,59.36,3565500,59.14915
2015-03-12,61.53,61.55,60.07,60.17,3322300,59.95626
2015-03-11,60.19,61.46,59.83,61.16,3452500,60.94275
2015-03-10,60.52,61.27,60.15,60.15,3293700,59.93634
2015-03-09,63.03,63.21,61.40,61.41,3258700,61.19186
2015-03-06,64.71,65.45,62.69,63.13,6164700,62.90575
2015-03-05,66.66,66.66,65.15,65.43,3790500,65.19759
2015-03-04,66.54,66.78,65.50,66.53,2986700,66.29368
2015-03-03,66.10,67.30,65.89,66.72,3388200,66.483
2015-03-02,65.46,65.86,64.54,65.79,3882700,65.5563
2015-02-27,66.00,66.31,65.42,65.84,4080000,65.60612
2015-02-26,67.19,67.19,65.27,65.74,3952900,65.50648
2015-02-25,67.05,68.00,66.48,67.83,2746200,67.58906
2015-02-24,66.91,67.42,66.40,66.91,2785900,66.67233
2015-02-23,65.27,66.44,64.84,66.22,4102500,65.98478
2015-02-20,66.68,67.25,65.81,66.22,4509000,65.98478
