Date,Open,High,Low,Close,Volume,Adj Close
2015-04-22,82.78,82.84,81.52,82.05,13257800,82.05
2015-04-21,82.86,82.92,82.14,82.42,9844100,82.42
2015-04-20,82.25,82.69,81.52,82.20,13439400,82.20
2015-04-17,83.08,83.25,81.61,81.90,22653200,81.90
2015-04-16,85.15,85.40,83.89,84.06,11975100,84.06
2015-04-15,85.08,85.36,84.16,84.67,12196000,84.67
2015-04-14,84.63,85.13,83.53,85.00,11819000,85.00
2015-04-13,85.16,85.71,83.82,84.28,15797100,84.28
2015-04-10,86.68,86.69,84.15,84.58,18300300,84.58
2015-04-09,87.03,87.69,85.20,86.14,27800400,86.14
2015-04-08,83.30,85.54,83.066,85.39,26161500,85.39
2015-04-07,81.94,82.95,81.88,82.21,9443000,82.21
2015-04-06,82.05,82.59,81.614,81.82,12810500,81.82
2015-04-02,82.88,83.00,81.25,82.28,19868200,82.28
2015-04-01,83.37,83.72,82.18,82.36,14896400,82.36
2015-03-31,83.64,84.45,83.20,83.24,11812900,83.24
2015-03-30,85.03,85.15,83.75,83.90,10020500,83.90
2015-03-27,84.78,85.15,83.34,84.58,9703800,84.58
2015-03-26,83.20,84.995,82.96,84.17,12208000,84.17
2015-03-25,83.94,84.48,82.67,83.75,13507200,83.75
2015-03-24,84.35,84.50,82.39,83.63,14545100,83.63
2015-03-23,85.25,85.53,84.21,84.25,11184000,84.25
2015-03-20,86.33,86.80,85.09,85.20,21181500,85.20
2015-03-19,85.11,87.04,85.00,85.74,30454700,85.74
2015-03-18,83.87,85.95,83.30,84.59,35663000,84.59
2015-03-17,84.01,85.10,83.51,84.50,17639000,84.50
2015-03-16,82.01,85.20,81.94,84.00,16905700,84.00
2015-03-13,81.80,81.92,80.77,81.86,12663300,81.86
2015-03-12,82.10,82.90,81.53,81.92,11232000,81.92
2015-03-11,83.00,83.38,81.19,81.99,12768700,81.99
2015-03-10,81.09,83.15,80.65,82.97,13817000,82.97
2015-03-09,84.35,84.35,81.48,82.53,17616500,82.53
2015-03-06,85.74,86.00,84.05,84.40,10673700,84.40
2015-03-05,85.75,86.27,84.01,86.10,18514800,86.10
2015-03-04,80.27,85.826,80.17,85.49,36607200,85.49
2015-03-03,82.95,83.25,80.03,81.58,39246100,81.58
2015-03-02,85.00,85.02,83.75,84.00,11213400,84.00
2015-02-27,85.95,86.56,85.00,85.12,8377200,85.12
2015-02-26,86.92,87.16,85.20,85.37,8763300,85.37
2015-02-25,84.38,86.83,84.36,86.19,13645700,86.19
2015-02-24,85.53,85.53,83.88,84.69,15846400,84.69
2015-02-23,86.51,86.68,85.25,85.47,9367900,85.47
2015-02-20,87.25,87.29,86.38,86.64,7821700,86.64
2015-02-19,86.81,87.87,86.71,86.89,7604100,86.89
2015-02-18,87.10,87.43,86.50,86.74,7422300,86.74
2015-02-17,88.78,88.99,86.70,86.85,15191700,86.85
2015-02-13,88.20,89.30,87.65,89.05,14665200,89.05
2015-02-12,85.60,88.30,85.55,87.10,15177800,87.10
2015-02-11,87.58,87.70,85.82,86.00,12391900,86.00
2015-02-10,87.01,87.47,86.52,87.26,12043300,87.26
2015-02-09,85.83,86.75,85.47,86.00,12109500,86.00
2015-02-06,87.11,87.40,85.42,85.68,17587600,85.68
2015-02-05,89.58,89.84,86.10,87.00,28926200,87.00
2015-02-04,90.99,91.88,89.48,90.00,14643600,90.00
2015-02-03,91.65,91.65,89.90,90.61,13512300,90.61
2015-02-02,91.13,91.66,88.61,90.13,18865300,90.13
